reactant_a,reactant_b,combination_type,primary_product_formula,primary_product_name,balanced_equation,state_at_stp,conditions,facts,common_misconception,confidence
Se,Rn,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Radon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Se,Fr,ionic_compound,Fr2Se,Francium selenide,2 Fr(s) + Se(s) -> Fr2Se(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
Se,Ra,ionic_compound,RaSe,Radium selenide,Ra(s) + Se(s) -> RaSe(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,medium
Se,Ac,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Th,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Pa,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,U,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Np,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Pu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Am,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Cm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Bk,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Cf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Es,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Fm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Md,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,No,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Lr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Rf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Db,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Sg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Bh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Hs,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Mt,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Ds,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Rg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Cn,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Nh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Fl,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Mc,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Lv,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Ts,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Se,Og,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Oganesson is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Br,Kr,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Br,Rb,ionic_compound,RbBr,Rubidium bromide,2 Rb(s) + Br2(l) -> 2 RbBr(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,Sr,ionic_compound,SrBr2,Strontium bromide,Sr(s) + Br2(l) -> SrBr2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,Y,ionic_compound,YBr3,Yttrium bromide,2 Y(s) + 3 Br2(l) -> 2 YBr3(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,Zr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Nb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Mo,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Tc,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Ru,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Rh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Pd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Ag,ionic_compound,AgBr,Silver bromide,2 Ag(s) + Br2(l) -> 2 AgBr(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,Cd,ionic_compound,CdBr2,Cadmium bromide,Cd(s) + Br2(l) -> CdBr2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,In,ionic_compound,InBr3,Indium bromide,2 In(s) + 3 Br2(l) -> 2 InBr3(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,Sn,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Sb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Te,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,I,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Xe,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Xenon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Br,Cs,ionic_compound,CsBr,Caesium bromide,2 Cs(s) + Br2(l) -> 2 CsBr(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,Ba,ionic_compound,BaBr2,Barium bromide,Ba(s) + Br2(l) -> BaBr2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,La,ionic_compound,LaBr3,Lanthanum bromide,2 La(s) + 3 Br2(l) -> 2 LaBr3(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,Ce,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Pr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Nd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Pm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Sm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Eu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Gd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Tb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Dy,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Ho,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Er,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Tm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Yb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Lu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Hf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Ta,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,W,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Re,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Os,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Ir,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Pt,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Au,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Hg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Tl,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Pb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Bi,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Po,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,At,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Rn,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Radon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Br,Fr,ionic_compound,FrBr,Francium bromide,2 Fr(s) + Br2(l) -> 2 FrBr(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,Ra,ionic_compound,RaBr2,Radium bromide,Ra(s) + Br2(l) -> RaBr2(s),solid,Often requires heat; may be vigorous depending on reactants,Typical binary ionic compound; subscripts follow charge balance (lowest whole-number ratio).,Do not put balancing coefficients into the formula; simplify subscripts.,high
Br,Ac,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Th,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Pa,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,U,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Np,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Pu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Am,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Cm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Bk,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Cf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Es,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Fm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Md,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,No,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Lr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Rf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Db,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Sg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Bh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Hs,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Mt,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Ds,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Rg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Cn,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Nh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Fl,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Mc,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Lv,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Ts,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Br,Og,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Oganesson is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Rb,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Sr,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Y,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Zr,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Nb,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Mo,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Tc,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Ru,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Rh,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Pd,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Ag,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Cd,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,In,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Sn,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Sb,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Te,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,I,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Xe,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Cs,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Ba,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,La,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Ce,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Pr,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Nd,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Pm,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Sm,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Eu,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Kr,Gd,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
